5126487,"מגדל יתר "
5124326,"מור יתר "
5130398,"MTF מחקה Indxx Pure Cyber מנוטרלת דולר "
5114855,"סלע מניות חו\"ל"
5520044,"מיטב סקיי השקעות"
5100961,"מיטב זהב"
5108642,"אלטשולר שחם (!) אג\"ח הזדמנויות"
5130422,"פרופאונד גמישה "
5126339,"קסם אקסלנס סקטורים עולמי"
5120837,"אנליסט תעשיות"
5120977,"ילין לפידות מניות חו\"ל"
5128988,"תכלית TTF יIndxx US Junior Cybersecurity"
5127618,"תכלית KBW NASDAQ Financial Technology TTF מנוטרלת מט\"ח"
5118823,"קסם אקסלנס מניות גלובלי ממוקדת"
5106331,"איילון מניות חו\"ל"
5111455,"הראל מניות צמיחה"
5122890,"אי.בי.אי. מחקה משולבת Staples י(50%) S&P Discretionary י(50%) חודשי מנוטרלת מט\"ח"
5127964,"אושן יצירה אקוויטי"
5121736,"מיטב חו\"ל עד 30% מט\"ח "
5130026,"הראל Htf Dow Jones U.S. Select Medical Equipment"
5106968,"סיגמא ת\"א 125 מודל ESG"
5129051,"אי.בי.אי. זיקה לקנאביס ישראל"
5113543,"סיגמא מניות חו\"ל"
5118609,"אלטשולר שחם שווקים מפותחים עד 30% מט\"ח"
5128202,"הראל Htf משולבת מניות חו\"ל חודשי מנוטרלת מט\"ח"
5106885,"הראל מניות חו\"ל"
5123161,"תכלית S&P 500 TTF  מנוטרלת מט\"ח"
5128293,"אלפא טק גמישה "
5118930,"מיטב מניות  ESG "
5125869,"MTF מחקה S&P 500  מנוטרלת מט\"ח"
5115373,"כוון מניות WALL STREET גלובלי"
5106018,"קסם אקסלנס מניות פרימיום"
5119987,"אושן יצירה תיק מניות"
5123021,"אי.בי.אי. מחקה S&P 500 מנוטרלת מט\"ח "
5127527,"הראל Htf S&P 500 - מנוטרלת מט\"ח "
5122957,"קסם S&P 500 KTF מנוטרלת מט\"ח"
5111414,"הראל חו\"ל US"
5127089,"ילין לפידות מניות חו\"ל נקובה $"
5108873,"ילין לפידות יתר   "
5103486,"קסם אקסלנס מניות US ממוקדת"
5101233,"סיגמא מניות גלובלי"
5129622,"אנליסט אלפא ביתא גמישה"
5129945,"תכלית Indxx US Food-Tech TTF"
5130307,"איילון בינה 10/90 "
5120522,"תמיר פישמן מניות"
5110820,"פסגות יתר"
5127980,"ISP Asset Managementי 10/90"
5127469,"S&P 500 PTF  "
5129275,"הראל Htf י S&P 500"
5124482,"קסם S&P 500 KTF"
5113998,"תכלית S&P 500 TTF  "
5122627,"MTF מחקה S&P 500 "
5130067,"אי.בי.אי. אסטרטגיות - ממונפת"
5129861,"שקדי קפיטל גמישה"
5118419,"הראל Htf  S&P 500 נקובה ב-$"
5116892,"פסגות ת\"א MID CAP"
5111398,"HAREL US EQUITY"
5123336,"דולפין מניות "
5129085,"א.ש SmartBeta מחקה A.B USA Large Cap"
5122437,"אי.בי.אי. מחקה Bluestar Israel Global"
5118872,"פסגות מודל סקטורים - מנוטרלת מט\"ח"
5128921,"א.ש SmartBeta מחקה A.B USA Healthcare מנוטרלת מט\"ח"
5100144,"אי.בי.אי. יתר"
5108006,"הראל מניות ארה\"ב עד 30% מט\"ח"
5126685,"קטנות Mid Cap  אנליסט מניות"
5130059,"ורדן Flexible"
5117601,"אי.בי.אי. מחקה S&P 500"
5129044,"אי.בי.אי. קנאביס עולמי - ישראל"
5120514,"מגדל אפיקים חו\"ל"
5128251,"הראל Htf משולבת מניות סקטורים ארה\"ב חודשי מנוטרלת מט\"ח"
5130505,"הראל תיק אסטרטגיות"
5109129,"פיטנגו מניות כללי "
5124508,"קסם  KTF ת\"א 90"
5111299,"הראל מניות Mid Cap"
5100482,"אי.בי.אי. גלובל אקוויטי"
5118740,"תכלית TTF ת\"א 90 "
5115126,"אי.בי.אי. מחקה ת\"א 90"
5118112,"פסגות ארה\"ב Index Plus"
